date,State_Code,positive,negative,percent_positive,positivity_over_10,pending,mask_required,red_state,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade,,percent_positive_4_1,mask_required_4_1,percent_positive_4_15,mask_required_4_15,percent_positive_5_1,mask_required_5_1,percent_positive_5_15,mask_required_5_15,percent_positive_6_1,mask_required_6_1,percent_positive_6_15,mask_required_6_15,percent_positive_7_1,mask_required_7_1,percent_positive_7_15,mask_required_7_15
20200726,AL,79294,570392,0.12,1,,0,1,1505,9157,,1076,,573,32510,B,7/26/2020 11:00,2020-07-26T11:00:00Z,7/26/2020 7:00,1473,9157,2020-07-26T11:00:00Z,647743,,,77351,1428,45,1,1164,6911,649686,649686,8075,649686,17,0,dc5e47c6735ff1312b84c1f33fb3124dce923880,0,0,0,0,0,,,0.138538719,0,0.120697244,0,0.077861051,0,0.076788783,0,0.08215262,0,0.086799659,0,0.094121796,0,0.109171258,0
20200726,AR,38623,438644,0.08,0,,0,1,479,2542,,,105,358,31622,A+,7/26/2020 0:00,2020-07-26T00:00:00Z,7/25/2020 20:00,401,2542,2020-07-26T00:00:00Z,477267,,,38623,,,5,1374,14429,477267,477267,15803,477267,7,181,7d90001dc8b1b8407ee0d50cc03ae5d1e378cc04,0,0,0,0,0,,,0.073570169,0,0.071860401,0,0.066853209,0,0.054741258,0,0.05586328,0,0.063275823,0,0.067322412,0,0.076550877,0
20200726,AZ,162014,705089,0.19,1,,0,1,2650,7706,837,,581,,20978,A+,7/26/2020 0:00,2020-07-26T00:00:00Z,7/25/2020 20:00,3305,7706,2020-07-26T00:00:00Z,867103,,,137710,2431,152,4,1973,7521,867103,867103,9494,867103,19,79,8eb0ec066ea9e5052ff8ef1cf59f9ed18da6b70d,0,0,0,0,0,,,0.067100389,0,0.087442066,0,0.106331548,0,0.092738784,0,0.088231683,0,0.10631211,0,0.153006936,0,0.178479324,0
20200726,CA,453659,6714480,0.06,0,,1,0,8820,,2199,,,,,B,7/26/2020 0:00,2020-07-26T00:00:00Z,7/25/2020 20:00,8416,,2020-07-26T00:00:00Z,7168139,,,453659,,,6,8259,112525,7168139,7168139,120784,7168139,79,0,0f3e69a25d890a056b9ee55ed8a616401d0a3c81,0,0,0,0,0,,,0.272496408,0,0.112820229,0,0.077012451,0,0.066086607,0,0.056149734,0,0.05280418,0,0.055507577,1,0.060006463,1
20200726,CO,43789,446607,0.09,0,,0,0,338,6261,,,,,5158,A,7/26/2020 1:59,2020-07-26T01:59:00Z,7/25/2020 21:59,1661,6261,2020-07-26T01:59:00Z,,,,40628,,,8,809,9843,490396,490396,10652,490396,0,34,b3edd3a82351987d494ccd4f9f51943abd4311a5,0,0,0,0,0,,,0.176034186,0,0.200631632,0,0.211134135,0,0.176548335,0,0.141531098,0,0.11694803,0,0.099892215,0,0.091919315,0
20200726,CT,48776,664296,0.07,0,,1,0,71,10712,,,,,8516,B,7/23/2020 20:30,2020-07-23T20:30:00Z,7/23/2020 16:30,4413,10712,2020-07-23T20:30:00Z,711102,,,46806,3531,882,9,0,0,713072,713072,0,713072,0,0,807c26e8c561e983aea7c692df7d118ebe4cfe9c,0,0,0,0,0,,,0.214277108,0,0.294258421,0,0.28690266,1,0.231450599,1,0.163510463,1,0.124864398,1,0.095081961,1,0.077374127,1
20200726,DE,14290,155703,0.08,0,,1,0,57,,9,,,,7996,A+,7/25/2020 18:00,2020-07-25T18:00:00Z,7/25/2020 14:00,579,,2020-07-25T18:00:00Z,,,,13294,509,70,10,115,2956,169993,169993,3071,169993,0,0,30d6bd23a12bb107ee806991475f67d4306ee6c0,0,0,0,0,0,,,0.083960757,0,0.15371699,0,0.217755147,1,0.192617169,1,0.153810431,1,0.122098104,1,0.103336206,1,0.0910118,1
20200726,FL,423855,2962648,0.13,1,2871,0,0,8951,24421,,,,,,A,7/25/2020 23:59,2020-07-25T23:59:00Z,7/25/2020 19:59,5972,24421,2020-07-25T23:59:00Z,4340661,531369,3793442,423855,5972,,12,9344,40782,3389374,3386503,50126,3386503,78,335,5067b6074630d65b0a37fd4e8de7d065f09f4cee,0,0,0,0,0,,,0.104611636,0,0.105433495,0,0.086238108,0,0.070971377,0,0.054623222,0,0.054067169,0,0.080287161,0,0.110312568,0
20200726,GA,167953,1260992,0.12,1,,0,1,3079,17091,,3168,,,,A,7/26/2020 14:50,2020-07-26T14:50:00Z,7/26/2020 10:50,3498,17091,2020-07-26T14:50:00Z,1428945,153305,1275640,167953,,,13,2765,18340,1428945,1428945,21105,1428945,3,62,5cf593640e22edd3a743799da657a97bb8b8eaa6,0,0,0,0,0,,,0.228180655,0,0.233843033,0,0.161967606,0,0.121510962,0,0.100964525,0,0.092647693,0,0.098518428,0,0.110680417,0
20200726,IA,42200,408399,0.09,0,,0,0,226,,77,,29,,29625,A+,7/26/2020 0:00,2020-07-26T00:00:00Z,7/25/2020 20:00,827,,2020-07-26T00:00:00Z,,,,42200,,,19,529,3807,450599,450599,4336,450599,1,0,369c7e91cc41f6b552a1520e3a39872f6c90fa2f,0,0,0,0,0,,,0.069909589,0,0.10040767,0,0.172925075,0,0.150150696,0,0.123817426,0,0.105779549,0,0.095067626,0,0.093699653,0
20200726,ID,17827,148397,0.11,1,,0,1,204,723,45,217,,,5483,A,7/25/2020 19:00,2020-07-25T19:00:00Z,7/25/2020 15:00,146,723,2020-07-25T19:00:00Z,165132,,,16735,125,21,16,563,2221,166224,166224,2784,166224,2,14,856ef5c77249ded96599eb3a17f94daea500f58a,0,0,0,0,0,,,0.079533404,0,0.095077283,0,0.068947819,0,0.067664412,0,0.060796197,0,0.053969514,0,0.067190246,0,0.08750392,0
20200726,IL,172666,2340143,0.07,0,,1,0,1394,,345,,119,,,A,7/26/2020 0:00,2020-07-26T00:00:00Z,7/25/2020 20:00,7590,,2020-07-26T00:00:00Z,2511567,,,171424,7398,192,17,1541,39303,2512809,2512809,40844,2512809,1,0,b3e7a465f633e43265105bdac858d62c90c0b77c,0,0,0,0,0,,,0.172840729,0,0.210324214,0,0.196899764,1,0.167784375,1,0.132023919,1,0.110598915,1,0.088611136,1,0.075850674,1
20200726,IN,62372,638939,0.09,0,,0,1,834,8401,282,1758,62,,43809,A+,7/25/2020 23:59,2020-07-25T23:59:00Z,7/25/2020 19:59,2903,8401,2020-07-25T23:59:00Z,,,,,2706,197,18,852,10185,701311,701311,11037,701311,8,221,fe8c45ecd6e9c6d221a942a4f0f7b9a80ad6f2e7,0,0,0,0,0,,,0.178434783,0,0.185035953,0,0.18697498,0,0.161108022,0,0.130991064,0,0.113621993,0,0.093833977,0,0.090983636,0
20200726,KS,25109,252858,0.09,0,,0,1,315,1596,98,459,24,166,1077,A+,7/24/2020 10:00,2020-07-24T10:00:00Z,7/24/2020 6:00,326,1596,2020-07-24T10:00:00Z,,,,,,,20,0,0,277967,277967,0,277967,0,0,466391e07377a70ab84cb20ae0f8bb1ae7240048,0,0,0,0,0,,,0.081791957,0,0.101854377,0,0.134679421,0,0.128036109,0,0.105112294,0,0.08337349,0,0.081835205,0,0.087448929,0
20200726,KY,27079,514819,0.05,0,,1,1,595,3266,132,1126,,,7421,B,7/26/2020 0:00,2020-07-26T00:00:00Z,7/25/2020 20:00,700,3266,2020-07-26T00:00:00Z,,,,25699,696,4,21,315,0,541898,541898,315,541898,4,0,7764060bcfd0490bcd4e6844da4c046a20bf2941,0,0,0,0,0,,,0.078215987,0,0.079792035,0,0.08316258,0,0.059573872,1,0.046499357,1,0.04274787,1,0.042011191,1,0.045029585,1
20200726,LA,107574,1125690,0.09,0,,1,1,1557,,,,184,,61456,A,7/26/2020 13:00,2020-07-26T13:00:00Z,7/26/2020 9:00,3763,,2020-07-26T13:00:00Z,,,,,3651,112,22,3840,29698,1233264,1233264,33538,1233264,48,0,0e7fdcb4b681682f2a9848dc9829ca53d4903793,0,0,0,0,0,,,0.140335547,0,0.180032478,0,0.170643859,0,0.133643247,0,0.104140744,0,0.090938358,0,0.080014573,0,0.084030164,1
20200726,MA,115637,1005122,0.1,1,,1,0,364,11828,56,,30,,96452,A+,7/26/2020 10:00,2020-07-26T10:00:00Z,7/26/2020 6:00,8529,11828,2020-07-26T10:00:00Z,1440717,,,108380,8310,219,25,369,9507,1120759,1120759,9876,1120759,19,15,d21d7e846983c9e4fd83f456609e26d8a9db1828,0,0,0,0,0,,,0.147573603,0,0.225745707,0,0.222040768,0,0.191473539,1,0.167052515,1,0.147358382,1,0.127141834,1,0.113629537,1
20200726,MD,83748,754824,0.1,1,,1,0,540,12283,153,,,,5434,A,7/26/2020 10:00,2020-07-26T10:00:00Z,7/26/2020 6:00,3440,12283,2020-07-26T10:00:00Z,1097361,,,83748,3309,131,24,694,12552,838572,838572,13246,838572,7,95,c6907aad8bac2e6969fe2390162bce099d7ca177,0,0,0,0,0,,,0.103288584,0,0.179904238,0,0.194010729,1,0.202301642,1,0.172730217,1,0.147306629,1,0.125170474,1,0.110303373,1
20200726,ME,3814,151504,0.02,0,,1,0,14,381,10,,3,,3284,A+,7/25/2020 23:59,2020-07-25T23:59:00Z,7/25/2020 19:59,119,381,2020-07-25T23:59:00Z,154912,4744,149972,3408,118,1,23,24,1921,155318,155318,1945,155318,0,2,69fae1ad4e8be7c63442aa831b22866443c74fb4,0,0,0,0,0,,,0.053482587,0,0.051865822,0,0.054332575,1,0.067651403,1,0.047327383,1,0.039593637,1,0.0338746,1,0.027968202,1
20200726,MI,86661,1584083,0.05,0,,1,0,680,,210,,113,,57502,A+,7/26/2020 0:00,2020-07-26T00:00:00Z,7/25/2020 20:00,6400,,2020-07-26T00:00:00Z,1693712,109629,1584083,78019,6149,251,26,1589,54509,1670744,1670744,56098,1670744,0,0,a2d98dbca375223c27750ebfe11b6ff825ed3af8,0,0,0,0,0,,,0.403330876,0,0.318684767,0,0.212467022,0,0.144392937,0,0.098898544,0,0.080196642,0,0.066947683,1,0.057688357,1
