date,State_Code,positive,negative,percent_positive,mask_required,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200315,AL,12,28,0.3,0,46,,,,,,,,,3/15/2020 14:12,2020-03-15T14:12:00Z,3/15/2020 10:12,0,,2020-03-15T14:12:00Z,,,,12,,,1,6,6,86,40,12,40,0,0,785aecc2630fa8c468a895eea2d2e9376f65d1f7,0,0,0,0,0,
20200315,AR,16,103,0.134453782,0,30,,,,,,,,,3/15/2020 0:00,2020-03-15T00:00:00Z,3/14/2020 20:00,,,2020-03-15T00:00:00Z,,,,16,,,5,4,38,149,119,42,119,0,0,d5b47fd6bcb7c6a64b88c57b35373600ca91ff07,0,0,0,0,0,
20200315,AZ,12,121,0.090225564,0,50,,36,,,,,,,3/15/2020 12:01,2020-03-15T12:01:00Z,3/15/2020 8:01,0,36,2020-03-15T12:01:00Z,133,,,,,,4,0,0,183,133,0,133,0,10,17be2fafc2f708a50548cf068e6b7d01d36b7f1b,0,0,0,0,0,
20200315,CA,293,916,0.242349049,0,,,,,,,,,,3/14/2020 11:00,2020-03-14T11:00:00Z,3/14/2020 7:00,5,,2020-03-14T11:00:00Z,1209,,,,,,6,41,0,1209,1209,41,1209,0,0,a54cee0d542381fcda1433ed39fc5c57d59ee684,0,0,0,0,0,
20200315,CO,131,627,0.172823219,0,,,,,,,,,,3/15/2020 15:45,2020-03-15T15:45:00Z,3/15/2020 11:45,1,,2020-03-15T15:45:00Z,,,,,,,8,30,17,758,758,47,758,0,0,f605ca15d15c570847e7d7aa4efa148cab41905f,0,0,0,0,0,
20200315,CT,20,125,0.137931034,0,,,,,,,,,,3/14/2020 17:00,2020-03-14T17:00:00Z,3/14/2020 13:00,,,2020-03-14T17:00:00Z,,,,,,,9,9,0,145,145,9,145,0,0,055d5abe16cdaabde1156ffe51e2ae71a08b2b4c,0,0,0,0,0,
20200315,DE,6,36,0.142857143,0,32,,,,,,,,,3/14/2020 13:00,2020-03-14T13:00:00Z,3/14/2020 9:00,0,,2020-03-14T13:00:00Z,,,,,0,0,10,0,0,74,42,0,42,0,0,a1a74a1590ac2f5fa31909f2798896140bcd2a34,0,0,0,0,0,
20200315,FL,116,678,0.146095718,0,454,,,,,,,,,3/15/2020 1:45,2020-03-15T01:45:00Z,3/14/2020 21:45,4,,2020-03-15T01:45:00Z,,,,,,,12,39,200,1248,794,239,794,1,0,035a1bf8e280d79fd8acd98525ab177cdaf3d8d4,0,0,0,0,0,
20200315,GA,99,,1,0,,,,,,,,,,3/15/2020 11:43,2020-03-15T11:43:00Z,3/15/2020 7:43,1,,2020-03-15T11:43:00Z,99,,,,,,13,33,0,99,99,33,99,0,0,409c6665380b7bedf9f61f6709bb6ae7c14394d5,0,0,0,0,0,
20200315,IA,18,83,0.178217822,0,,,,,,,,,,3/14/2020 0:00,2020-03-14T00:00:00Z,3/13/2020 20:00,,,2020-03-14T00:00:00Z,,,,18,,,19,1,0,101,101,1,101,0,0,f233a7e333b908befb3bc099eb8dd3368f67093d,0,0,0,0,0,
20200315,ID,5,174,0.027932961,0,,,,,,,,,,3/13/2020 22:45,2020-03-13T22:45:00Z,3/13/2020 18:45,,,2020-03-13T22:45:00Z,179,,,,,,16,3,0,179,179,3,179,0,0,04cad1cf4371a3c8db4d02519d317833fcac25be,0,0,0,0,0,
20200315,IL,64,449,0.124756335,0,195,,,,,,,,,3/14/2020 0:00,2020-03-14T00:00:00Z,3/13/2020 20:00,,,2020-03-14T00:00:00Z,,,,,,,17,18,133,708,513,151,513,0,0,19ee7c34c002be8b6bcde293ff7127697281dab2,0,0,0,0,0,
20200315,IN,19,102,0.157024793,0,,,,,,,,,,3/15/2020 0:59,2020-03-15T00:59:00Z,3/14/2020 20:59,0,,2020-03-15T00:59:00Z,,,,,,,18,4,28,121,121,32,121,0,0,679a2f368e3e8682176ae28e54ee704e27b6ba03,0,0,0,0,0,
20200315,KS,8,135,0.055944056,0,,,,,,,,,,3/14/2020 13:00,2020-03-14T13:00:00Z,3/14/2020 9:00,1,,2020-03-14T13:00:00Z,,,,,,,20,2,42,143,143,44,143,0,0,866c931a65c6458edab0188d7f75c5af2ca7838c,0,0,0,0,0,
